종목명,Y_Change,Y_TA
오리엔트바이오,-55.6838905775076,1727806942.1133604
삼영화학,-16.16,3379747182.813765
동일고무벨트,-36.6,743996975.3036437
사조오양,-20.515021459227466,715592700.1214575
유니온,-31.004901960784316,6693240161.437247
까뮤이앤씨,-29.684601113172544,13096216746.012146
화승코퍼레이션,-53.37931034482759,2443262043.3400807
유니켐,-34.39306358381503,481285218.5020243
하이스틸,14.698162729658792,11074688192.024292
KTcs,-43.69627507163324,674628331.2145749
화인베스틸,-4.794520547945205,1157645665.4655871
부산산업,-46.53333333333333,953362266.8016194
인터지스,-36.76148796498906,1143515521.8218625
전방,21.35102533172497,121688237.24696356
한국종합기술,-30.638297872340424,3809998651.862348
KTis,-24.960998439937597,298103334.51417005
경동인베스트,-13.30049261083744,141998353.2388664
호전실업,-42.6027397260274,1258407072.7530365
핸즈코퍼레이션,-44.37596302003082,224362976.15384614
에넥스,-55.095541401273884,6707993901.882591
세원정공,0.0,0.0
조광페인트,-24.64622641509434,811152272.8340081
우리들휴브레인,-48.36065573770492,966193737.9757085
삼화왕관,-18.446601941747574,544201050.8097166
세하,-38.96396396396396,731012608.9676113
영흥,-38.87550200803213,640273572.5951416
제이준코스메틱,-33.33333333333333,2971536552.854251
한국프랜지,-31.471389645776565,742992498.340081
우성,-31.983805668016196,2028771493.9271255
평화산업,-23.809523809523807,3750906969.9797573
에쓰씨엔지니어링,-44.90690032858707,1827073518.9676113
유성기업,-28.30188679245283,358309866.3360324
페이퍼코리아,-32.42677824267782,1858526066.1133604
문배철강,-31.647940074906366,4400833107.692307
부국철강,-24.720244150559513,11737438184.51417
한창,-30.689655172413794,4684170480.862349
DSR제강,-30.042613636363637,4741892085.870445
금비,-14.026602176541717,162779786.63967612
우진플라임,-9.090909090909092,486408992.22672063
에이엔피,39.053254437869825,1312306188.562753
삼정펄프,-24.403927068723704,87624262.95546558
서원,-48.67724867724868,3531254129.02834
동일제강,-24.218574319766134,3184957623.0
동양피스톤,-19.024390243902438,5549530926.194332
SG글로벌,-63.795423956931366,767261575.2834008
모나미,-43.882544861337685,2042024247.591093
한국전자홀딩스,-4.745762711864407,3055297511.639676
티웨이홀딩스,-60.22889842632332,539266316.2793522
SUN&L,-26.552287581699346,98467211.53846154
KR모터스,-49.88047808764941,541805370.2510121
대림통상,-8.409090909090908,79043114.12955466
인디에프,-46.95652173913044,1539001091.7732794
화천기계,-8.170515097690942,553129617.145749
티에이치엔,-22.094508301404854,3873464625.991903
이스타코,-82.22222222222221,12669731868.036438
케이비아이동국실업,-57.3943661971831,1424732989.4817815
원림,-15.427509293680297,143290416.80161944
SJM,-39.070567986230635,266480739.57489878
태양금속,-16.15598885793872,2093432953.117409
진양폴리,28.57142857142857,1054959821.2550607
비비안,-59.90939977349944,3115147563.502024
WISCOM,-47.3257698541329,534335755.22267205
씨아이테크,-20.477815699658702,1090128039.48583
형지엘리트,-73.35581787521079,1899882391.0526316
주연테크,-31.83673469387755,6091204228.805668
갤럭시아에스엠,-21.53846153846154,6259968247.2469635
SJM홀딩스,-39.04382470119522,197850943.56275302
센트럴인사이트,0.0,0.0
우진아이엔에스,-31.348314606741575,159690191.98380566
동양고속,-39.20792079207921,89927600.8097166
이화산업,-26.066350710900476,46212907.692307696
동원수산,-2.6178010471204187,3020598885.668016
미래아이앤지,-54.86600846262342,697028460.9919028
동원금속,-19.36936936936937,232495179.84615386
한성기업,-24.537037037037038,3228894959.7975707
경인전자,-23.244929797191887,409767309.3117409
태원물산,-11.46788990825688,445558187.9554656
SHD,1.549053356282272,511801506.68016195
금호전기,-57.70392749244713,1020814371.0526316
삼화전자,-26.745562130177515,656094415.9109312
한국주강,4.291044776119403,2419431213.178138
한솔PNS,-41.36622390891841,1112509872.0850203
코아스,-34.4,595168832.0769231
일정실업,-7.249999999999999,296659612.9554656
비케이탑스,-91.5906976744186,4158175209.9352226
폴루스바이오팜,-96.3265306122449,45882000.925
SK머티리얼즈,14.427719397898326,16998307165.040651
펄어비스,-29.301075268817208,92983729086.23482
에코프로비엠,134.75267819159222,146603067737.4494
스튜디오드래곤,-27.43455497382199,12009751261.538462
천보,24.27556041552761,37190440240.890686
CJ ENM,-46.740947075208915,17496603159.10931
리노공업,-25.94686263425664,8357606876.923077
위메이드,114.96815286624205,163441907318.92712
씨젠,-55.208333333333336,72242488768.21863
에코프로,72.5028638170751,77755497619.51418
JYP Ent.,23.77358490566038,30444358118.42105
에스티팜,-19.58855098389982,18760309717.813766
동진쎄미켐,20.884955752212388,57411688625.50607
LX세미콘,-16.76253081347576,32310030905.263157
에스엠,8.952702702702704,48719239420.64777
원익IPS,-36.69724770642202,16293234853.846153
오스템임플란트,9.472240967468963,19771095969.894737
티씨케이,-43.499511241446726,6876414612.145749
휴젤,-55.77085088458298,13193512032.388664
동화기업,-5.547652916073969,14684814595.951418
파라다이스,-24.45054945054945,11588890579.757086
레고켐바이오,-26.56546489563567,14999478544.534412
피엔티,98.559670781893,18751679706.68016
이오테크닉스,-28.949615713065757,9012620878.137651
고영,-40.29535864978903,5214286568.016194
하림지주,-21.60377358490566,3494640054.736842
메가스터디교육,18.208955223880597,5345987957.489879
컴투스,-41.091492776886035,46979473708.50202
아프리카TV,-27.111111111111114,22092368825.91093
넥슨지티,93.89312977099237,31308985406.632652
지씨셀,-41.51547491995731,9723354179.757086
NICE평가정보,-39.845261121856865,2286896126.923077
안랩,23.949579831932773,49045192562.75304
동국제약,-30.96085409252669,2225161837.651822
현대바이오,-38.16689466484268,55283714341.29555
오스코텍,-30.040105103028626,7726151121.906882
SFA반도체,-28.936742934051146,10186163518.82591
와이지엔터테인먼트,-10.615079365079366,22469546979.1498
차바이오텍,-51.10732538330494,9210025652.22672
콜마비앤에이치,-46.31474103585657,4113178560.323887
제넥신,-65.64625850340136,12007735229.554655
삼천당제약,-34.644194756554306,11036021346.761133
아이티엠반도체,-35.37688442211056,2447157785.222672
파마리서치,-20.615034168564918,7241975886.639676
이녹스첨단소재,7.680491551459294,18615313218.016193
웹젠,-37.95379537953795,9909511746.963562
서울반도체,-42.857142857142854,6430598175.101214
KG ETS,-15.144230769230768,40893548758.90688
엔케이맥스,8.88888888888889,20736559850.404858
아난티,-30.558375634517766,28577495115.344128
RFHIC,-42.33766233766234,5849992384.412955
코리아센터,-36.48816936488169,4615466622.834008
서진시스템,-27.215338955104347,8385330694.7651825
코웰패션,-0.15772870662460567,6930207725.62753
